城市,编号,名称,地区,经纬度
北京市,BV11303302,万盛东(地铁站),通州区,"116.657379,39.863491"
北京市,BV10013506,褡裢坡(地铁站),朝阳区,"116.563961,39.924021"
北京市,BV10846510,北岗子(地铁站),朝阳区,"116.537208,39.975898"
北京市,BV10701093,东坝中街(地铁站),朝阳区,"116.547126,39.965732"
北京市,BV10416588,来广营(地铁站),朝阳区,"116.466994,40.020588"
北京市,BV10013400,郭庄子(地铁站),丰台区,"116.253068,39.864841"
北京市,BV10013451,万源街(地铁站),大兴区,"116.505446,39.802921"
北京市,BV10013444,北苑路北(地铁站),朝阳区,"116.418089,40.030436"
北京市,BV11303300,群芳(地铁站),通州区,"116.670792,39.863515"
北京市,BV10000383,西红门(地铁站),大兴区,"116.328689,39.789800"
北京市,BV10013519,双桥(地铁站),朝阳区,"116.576760,39.910140"
北京市,BV10000920,西苑(地铁站),海淀区,"116.290908,39.998258"
北京市,BV11315916,运河商务中心(地铁站),通州区,"116.683628,39.912746"
北京市,BV10840914,勇士营(地铁站),朝阳区,"116.441678,40.032471"
北京市,BV10013423,大葆台(地铁站),丰台区,"116.291681,39.807810"
北京市,BV10000302,八宝山(地铁站),石景山区,"116.235948,39.907440"
北京市,BV10701091,东风(地铁站),朝阳区,"116.553278,39.975761"
北京市,BV10013505,黄渠(地铁站),朝阳区,"116.578266,39.924201"
北京市,BV11303297,高楼金(地铁站),通州区,"116.684340,39.863154"
北京市,BV10416596,善各庄(地铁站),朝阳区,"116.478195,40.027160"
北京市,BV10000963,崔各庄(地铁站),朝阳区,"116.492968,40.022201"
北京市,BV10007072,大瓦窑(地铁站),丰台区,"116.240480,39.859470"
北京市,BV10968850,颐和园西门(地铁站),海淀区,"116.263248,39.985697"
北京市,BV10003511,荣京东街(地铁站),大兴区,"116.513390,39.793132"
北京市,BV11315920,副中心(地铁站),通州区,"116.703931,39.903186"
北京市,BV10004309,立水桥南(地铁站),朝阳区,"116.414496,40.041956"
北京市,BV11253781,花庄(地铁站),通州区,"116.695495,39.856722"
北京市,BV10847815,小营桥(地铁站),海淀区,"116.343524,40.034952"
北京市,BV10013407,北宫门(地铁站),海淀区,"116.277647,40.002373"
北京市,BV10000769,永泰庄(地铁站),海淀区,"116.354580,40.037728"
北京市,BV10000150,北苑(地铁站),朝阳区,"116.434518,40.042997"
北京市,BV10013419,高米店北(地铁站),大兴区,"116.330787,39.773547"
北京市,BV10968847,茶棚(地铁站),海淀区,"116.248100,39.982113"
北京市,BV10701099,管庄路西口(地铁站),朝阳区,"116.570732,39.976863"
北京市,BV10013516,上地(地铁站),海淀区,"116.320193,40.033007"
北京市,BV11315923,政务中心(地铁站),通州区,"116.724017,39.910253"
北京市,BV10004294,管庄(地铁站),朝阳区,"116.599002,39.909090"
北京市,BV10013468,西小口(地铁站),海淀区,"116.351644,40.046873"
北京市,BV10011274,马泉营(地铁站),朝阳区,"116.503480,40.033721"
